,0
0,Algeria
1,Angola
2,Botswana
3,Burundi
4,Cameroon
5,Cape Verde
6,Chad
7,Comoros
8,Djibouti
9,Democratic Republic Of Congo
10,Egypt
11,Equatorial Guinea
12,Eritrea
13,Ethiopia
14,Gabon
15,Gambia
16,Guinea
17,Guinea-Bissau
18,Kenya
19,Lesotho
20,Libya
21,Madagascar
22,Malawi
23,Mali
24,Mauritania
25,Mauritius
26,Morocco
27,Mozambique
28,Republic Of The Congo
29,Rwanda
30,Sao Tome And Principe
31,Senegal
32,Seychelles
33,Somalia
34,South Sudan
35,Sudan
36,Swaziland
37,Tanzania
38,Togo
39,Tunisia
40,Uganda
41,Zambia
42,Zimbabwe
